codigo_del_inmueble,organizacion,pais,provincia,departamento,localidad,calle,numero,situacion_inmueble,superficie_aproximada_m2,longitud,latitud
200002040,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Avenida Rivadavia,1355,Propiedad del ENA,946.18,-58.3856772514,-34.6084300149
200002059,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Avenida de Mayo,1317,Propiedad del ENA,1361.25,-58.3850685344,-34.6089557188
200002067,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Avenida Paseo Colon,635,Propiedad del ENA,2740.15,-58.3698313808,-34.6150957993
200002075,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 3,,Hipolito Yrigoyen,2221/51,Propiedad del ENA,1461.43,-58.398049986,-34.6104868916
200002083,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Carlos Pellegrini,675,Propiedad del ENA,1137.77,-58.3807413794,-34.6004892217
200002091,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Carlos Pellegrini,53,Propiedad del ENA,455.53,-58.3804470299,-34.6077409494
200002105,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Avenida Rivadavia,1745,Propiedad del ENA,841.7,-58.3912102,-34.6088987092
200002113,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Humberto Primo,102-108-110,Propiedad del ENA,3295.14,-58.3674396779,-34.6210218154
200002121,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Hipolito Yrigoyen,370,Propiedad del ENA,11165.97,-58.3713989974,-34.6094961176
200002131,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,San Martin,440,Propiedad del ENA,363.72,-58.3740777519,-34.6028661755
200002148,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Bernardo de Irigoyen,474/478/482/486,Propiedad del ENA,1067.99,-58.3800461064,-34.6137871503
200002156,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Tte. Gral Juan D. Peron,1378,Propiedad del ENA,761.85,-58.3860127426,-34.6066677017
