codigo_del_inmueble,organizacion,pais,provincia,departamento,localidad,calle,numero,situacion_inmueble,superficie_aproximada_m2,longitud,latitud
200002040,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Avenida Rivadavia,1355,Propiedad del ENA,946.18,-58.38567725,-34.60843001
200002059,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Avenida de Mayo,1317,Propiedad del ENA,1361.25,-58.38506853,-34.60895572
200002067,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Avenida Paseo Colon,635,Propiedad del ENA,2740.15,-58.36983138,-34.6150958
200002075,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 3,,Hipolito Yrigoyen,2221/51,Propiedad del ENA,1461.43,-58.39804999,-34.61048689
200002083,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Carlos Pellegrini,675,Propiedad del ENA,1137.77,-58.38074138,-34.60048922
200002091,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Carlos Pellegrini,53,Propiedad del ENA,455.53,-58.38044703,-34.60774095
200002105,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Avenida Rivadavia,1745,Propiedad del ENA,841.7,-58.3912102,-34.60889871
200002113,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Humberto Primo,102-108-110,Propiedad del ENA,3295.14,-58.36743968,-34.62102182
200002121,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Hipolito Yrigoyen,370,Propiedad del ENA,11165.97,-58.371399,-34.60949612
200002131,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,San Martin,440,Propiedad del ENA,363.72,-58.37407775,-34.60286618
200002148,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Bernardo de Irigoyen,474/478/482/486,Propiedad del ENA,1067.99,-58.38004611,-34.61378715
200002156,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Tte. Gral Juan D. Peron,1378,Propiedad del ENA,761.85,-58.38601274,-34.6066677
200002164,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Bartolome Mitre,841/45,Propiedad del ENA,368.39,-58.3785017,-34.6069199
200002172,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 13,,Avda. del Libertador,7602/7618,Propiedad del ENA,473.79,-58.46104147,-34.54396797
200002180,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Azopardo,350,Propiedad del ENA,4399.31,-58.3676263,-34.61160891
200002199,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Defensa,463/465/467,Propiedad del ENA,1151.19,-58.37222114,-34.61331849
200002202,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 7,,Beauchef,1450/1452/1454,Propiedad del ENA,479.61,-58.43101754,-34.6339053
200002210,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 4,,Zepita,3102/38/40/42,Propiedad del ENA,19485.12,-58.39039838,-34.65962256
200002229,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 5,,Virrey Liniers,162/8,Propiedad del ENA,1992.53,-58.41464044,-34.61229049
200016521,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Hipólito Yrigoyen,1230,Propiedad del ENA,594.02,-58.38387617,-34.61001157
200043650,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 4,,Zepita,3102,Propiedad del ENA,765.05,-58.39006794,-34.65993682
200044010,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Defensa,131/135,Alquilado,442.18,-58.37230349,-34.60953306
200044029,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Perón,1388,Alquilado,339.94,-58.38622736,-34.60654414
200048261,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 6,,Rosario,50,Alquilado,725.51,-58.42922767,-34.6186669
200048271,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 15,,Av. Rivadavia,2499,Alquilado,188.09,-58.40169595,-34.60967848
200048288,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 11,,Av. Alvarez Jonte,2376,Alquilado,500.44,-58.47567721,-34.60662247
200048296,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 14,,Av. Cabildo,999,Alquilado,1027.84,-58.44602313,-34.5688755
200048301,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Hipolito Yrigoyen,440,Alquilado,1475.81,-58.37299477,-34.60919556
200048318,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 5,,Castro Barros,755,Alquilado,1035,-58.41985586,-34.62070899
200048326,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 7,,Baldomero F. Moreno,1259,Alquilado,1339.3,-58.4444196,-34.6315366
200048385,AFIP ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS,Argentina,Ciudad Autonoma de Buenos Aires,Comuna 1,,Sarmiento,1155,Alquilado,1341,-58.38304542,-34.60473342
